old_filename|new_filename
B1 L20 Airport announcements-4.mp3|ee-ind-b1-l20-audio-4.mp3
B1 L20 Airport announcements-5.mp3|ee-ind-b1-l20-audio-5.mp3
B1 L22 Air travel overseas.mp3|ee-ind-b1-l22-audio-1.mp3
B1 L24 College education.mp3|ee-ind-b1-l24-audio-1.mp3
B1 L26 Cooking.mp3|ee-ind-b1-l26-audio-1.mp3
B1 L28 Homes.mp3|ee-ind-b1-l28-audio-1.mp3
B1 L30 Describing minor illnesses.mp3|ee-ind-b1-l30-audio-1.mp3
B1 L32 Making friends.mp3|ee-ind-b1-l32-audio-1.mp3
B1 L37 Online shopping.mp3|ee-ind-b1-l37-audio-1.mp3
B1 L40 Renting an apartment.mp3|ee-ind-b1-l40-audio-1.mp3
B1 L43 Making appointments-1.mp3|ee-ind-b1-l43-audio-1.mp3
B1 L43 Making appointments-2.mp3|ee-ind-b1-l43-audio-2.mp3
B1 L46 Being a good project manager.mp3|ee-ind-b1-l46-audio-1.mp3
B2 L01 Airport facilities.mp3|ee-ind-b2-l1-audio-1.mp3
B2 L02 Booking an eco-tour.mp3|ee-ind-b2-l2-audio-1.mp3
B2 L04 Clothing and fashion.mp3|ee-ind-b2-l4-audio-1.mp3
B2 L05 Describing co-workers.mp3|ee-ind-b2-l5-audio-1.mp3
B2 L06 Answering the phone.mp3|ee-ind-b2-l6-audio-1.mp3
B2 L07 Family Tree.mp3|ee-ind-b2-l7-audio-1.mp3
B2 L08 Operating a TV set.mp3|ee-ind-b2-l8-audio-1.mp3
B2 L10 Shopping.mp3|ee-ind-b2-l10-audio-1.mp3
B2 L11 City and countryside.mp3|ee-ind-b2-l11-audio-1.mp3
B2 L12 Weather in New York.mp3|ee-ind-b2-l12-audio-1.mp3
B2 L13 Answering questions in a presentation.mp3|ee-ind-b2-l13-audio-1.mp3
B2 L15 Changing arrangements-1.mp3|ee-ind-b2-l15-audio-1.mp3
B2 L15 Changing arrangements-2.mp3|ee-ind-b2-l15-audio-2.mp3
B2 L15 Changing arrangements-3.mp3|ee-ind-b2-l15-audio-3.mp3
B2 L16 Making speeches-1.mp3|ee-ind-b2-l16-audio-1.mp3
B2 L16 Making speeches-2.mp3|ee-ind-b2-l16-audio-2.mp3
B2 L18 Natural disasters and consequences-1.mp3|ee-ind-b2-l18-audio-1.mp3
B2 L18 Natural disasters and consequences-2.mp3|ee-ind-b2-l18-audio-2.mp3
B2 L18 Natural disasters and consequences-3.mp3|ee-ind-b2-l18-audio-3.mp3
B2 L18 Natural disasters and consequences-4.mp3|ee-ind-b2-l18-audio-4.mp3
B2 L18 Natural disasters and consequences-5.mp3|ee-ind-b2-l18-audio-5.mp3
B2 L19 Sales activities.mp3|ee-ind-b2-l19-audio-1.mp3
B2 L21 Social networking and your business.mp3|ee-ind-b2-l21-audio-1.mp3
B2 L22 A new start.mp3|ee-ind-b2-l22-audio-1.mp3
B2 L23 Transforming the land.mp3|ee-ind-b2-l23-audio-1.mp3
B2 L25 Travel problems.mp3|ee-ind-b2-l25-audio-1.mp3
B2 L27 Video and teleconferencing.mp3|ee-ind-b2-l27-audio-1.mp3
B2 L29 Working in an office.mp3|ee-ind-b2-l29-audio-1.mp3
B2 L31 A bad experience in a restaurant.mp3|ee-ind-b2-l31-audio-1.mp3
B2 L33 Agreeing and disagreeing in meetings.mp3|ee-ind-b2-l33-audio-1.mp3
B2 L36 Airport security.mp3|ee-ind-b2-l36-audio-1.mp3
B2 L37 Local politics.mp3|ee-ind-b2-l37-audio-1.mp3
